data,confirmados_arslvt_diff
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,3
2020-03-10,1
2020-03-11,7
2020-03-12,6
2020-03-13,23
2020-03-14,27
2020-03-15,43
2020-03-16,26
2020-03-17,38
2020-03-18,63
2020-03-19,35
2020-03-20,83
2020-03-21,87
2020-03-22,86
2020-03-23,203
2020-03-24,115
2020-03-25,140
2020-03-26,90
2020-03-27,28
2020-03-28,177
2020-03-29,191
2020-03-30,99
2020-03-31,222
2020-04-01,199
2020-04-02,209
2020-04-03,140
2020-04-04,166
2020-04-05,391
2020-04-06,166
2020-04-07,115
2020-04-08,239
2020-04-09,27
2020-04-10,370
2020-04-11,13
2020-04-12,7
2020-04-13,55
2020-04-14,98
2020-04-15,108
2020-04-16,135
2020-04-17,65
2020-04-18,136
2020-04-19,62
2020-04-20,209
2020-04-21,187
2020-04-22,197
2020-04-23,101
2020-04-24,83
2020-04-25,158
2020-04-26,96
2020-04-27,25
2020-04-28,37
2020-04-29,102
2020-04-30,120
2020-05-01,124
2020-05-02,108
2020-05-03,0
2020-05-04,89
2020-05-05,105
2020-05-06,400
2020-05-07,294
2020-05-08,158
2020-05-09,73
2020-05-10,76
2020-05-11,74
2020-05-12,178
2020-05-13,153
2020-05-14,120
2020-05-15,184
2020-05-16,146
2020-05-17,138
2020-05-18,126
2020-05-19,129
2020-05-20,198
2020-05-21,190
2020-05-22,228
2020-05-23,186
2020-05-24,131
2020-05-25,144
2020-05-26,211
2020-05-27,277
2020-05-28,265
2020-05-29,323
2020-05-30,231
2020-05-31,268
2020-06-01,193
2020-06-02,158
2020-06-03,335
2020-06-04,309
2020-06-05,336
2020-06-06,345
2020-06-07,255
2020-06-08,149
2020-06-09,386
2020-06-10,270
2020-06-11,283
2020-06-12,246
2020-06-13,215
2020-06-14,206
2020-06-15,300
2020-06-16,236
2020-06-17,282
2020-06-18,325
2020-06-19,284
2020-06-20,282
